question,source,id,author,answer
"Suggest treatment for extra bone growth on neck of a 5 year oldMy grandson is at Children s Hospital in New Orleans and at first they thought it was a protruding disc in his neck. After the MRI, they found an extra bone growth on his neck which is causing him horrible pain. What should be the next procedure. He is 5 yrs. old and has Down Syndrome.",medicine,24076,chatgpt_answers,"It is important to have a medical professional determine the appropriate course of treatment for your grandson's condition. I recommend that you speak with his doctors and medical team at Children's Hospital in New Orleans about the best course of action. It is possible that surgery may be necessary to remove the extra bone growth and alleviate the pain. However, the specific treatment plan will depend on the cause of the bone growth and the severity of the symptoms. The doctors and medical team will be able to provide more information and guidance based on your grandson's specific situation."
What is street-side booking?,finance,22757,chatgpt_answers,"Street-side booking typically refers to the process of booking a service or making a reservation for a product or service at the location where it is provided, rather than booking online or over the phone. For example, a street-side booking could be made by approaching a street vendor or a storefront business and requesting a reservation or booking on the spot. Street-side booking can be convenient for people who prefer to make arrangements in person or who do not have access to the internet or a phone. It is also often used by travelers who are unfamiliar with the local area and want to make arrangements on the spot."
"Might I need a credit score to rent, or for any other non-borrowing finances?",finance,22309,human_answers,"Typically one wants to see a credit score, just because you may have money in the bank and decent income does not mean your going to pay, there are plenty of people who have the money but simply refuse to cough it up. Credit is simply a relative way of seeing where one fits against another in a larger group, it shows that this person not only can pay, but does pay. While not having a credit history should make no difference, I can and hopefully easily posited above why it can be necessary to have one. Not all landlords will require a credit check, I was not required to give one, I did not have much credit to begin with, given that, I was forced to cough up a higher degree of a security deposit."
"Should I be concerned about reactive H.Pylori, ALT level: 42, bilirubin : 1.72?Hi Dr. SamuelI am 35 year old male. A slim body shape.I had stomach problem from some days. I test my L. F. T.  and H. Pylori.  H. Pylori is reactive. and in LFT ALT level is 42, Bilirubin is 1.72.  In previous day I took some multivitamins.  Is there anything worry about me.",medicine,23991,human_answers,"Hi and welcome to HCM. Thanks for the query.generally no but you need frequent follow ups. if you have symptoms related to stomach such as heartburn,you should have eradication therapy for h.pylori. also,you need some antiacid mediciens. LFTs are only slightly elevated and it may not indicate any disorder. If there will be persistant eleavtion then you need to do liver ultrasound to rule out liver damage. Also,check your viral markers. Wish  you good health. Regards"
"Is CLL affected by testosterone therapy?I am a 59 year-old-male who was diagnosed with CLL about one and one half years ago.  No symptoms at this time except possibly a little fatigue.  I also suspect that I may have a low testosterone level because I don't have much hair on my legs any more, energy level is down, weight has increased a bit, and sexual desire is a bit diminished.  My question is whether or not testosterone therapy will have any effect on CLL.",medicine,24194,human_answers,"Hi,Thanks for writing in.Testosterone therapy is unlikely to influence development and progress of CLL. Once you have CLL it is better to get a follow up done since it has been one and a half year from detection which is not many days back. Please get your blood tests and ultrasound scan done to know if you have any features of CLL.Diminishing of sexual desire is present in many patients of CLL during recovery and you appear to have had CLL only recently and recovery is taking place slowly. However your fatigue requires to be investigated and if you need to continue treatment for CLL. Please do not worry."
"Could numbness in arm and palpitations be due to dehydration?Within minutes of lying on my right side,my arm goes painful/numb. Also I seem  to have palpitations when lying on my right side as well, when trying to go to sleep. this  Morning I woke up and my right arm hurt/was numb. I have tried stretching but it lasts for awhile.Can dehydration be a cause?",medicine,23971,chatgpt_answers,"It is possible that dehydration could cause numbness in your arm and palpitations. Dehydration can cause a number of symptoms, including fatigue, dizziness, and muscle cramps. It is important to ensure that you are getting enough fluids, especially if you are experiencing physical exertion or if the weather is hot.

However, numbness and palpitations can also be caused by other factors, such as nerve irritation or compression, muscle strain, or certain medical conditions. It is always a good idea to speak with a healthcare professional if you are experiencing these symptoms, as they can help determine the cause and provide appropriate treatment. They may also recommend that you increase your fluid intake as a way to address your symptoms."
"Is vaccination needed again after being scratched by cat for second time?Hi Doc.,Im Cris. I was scrathced by a cat in my legs last June and completed my vaccinne until the month of July..This month of september i was scrathced again by a different cat, on my shoilder bcoz it jmped on me.DO I NEED TO TAKE ANOTHER SET OF VACCINE???",medicine,23841,chatgpt_answers,"It is important to consult with a healthcare provider after being scratched or bitten by a cat, as infection or disease may result from the injury. If you received a tetanus vaccine after the first scratch and the vaccine is still current, you may not need to receive it again. However, it is important to consult with a healthcare provider for an assessment and to determine if any additional treatment or preventive measures are necessary.

It is also important to remember to always wash scratches and bites thoroughly with soap and water to reduce the risk of infection. If you develop any signs of infection, such as redness, swelling, or pus, you should contact a healthcare provider for further evaluation and treatment."
Why can't I open multiple sell orders?,finance,20125,human_answers,"From the message you report, it sounds like you are trying to sell the same shares twice, you have two open sell orders for the same shares. Either you have accidentally entered two sell orders, or the web site is having a technical problem. I'm not a customer of Fidelity so I can't say what their web site looks like, but there should be some screen that shows your open orders. If looking there doesn't resolve the issue, call customer service."
What causes delay in menstruation other than pregnancy?Hi there I am confused 3 months ago I missed a period and then come on the next month and now I hav missed a period again last month and now I never felt like this befor I hav got really bad stomach cramps and my nipple r really sore and tender and I hav a eggwhite discharge but today I done a pregnant test and it says I am not pregnant can you plz advise me of wattles it could be,medicine,23140,human_answers,"Hello dear,I understand your concern.In my opinion delayed periods can be there without pregnancy.There are various reasons for it like thyroid abnormalities,PCOD,overweight or obesity,anaemia ,stress etc.As the irregular periods are present I suggest you to consult doctor so that the above causes are ruled out.The investigations like Hb,thyroid profile,ultrasound might help in diagnosis.If overweight or obesity weight reduction is helpful.Avoid stress if any.And adapt healthy lifestyle like healthy nutritional diet and exercise daily.Nothing to worry.Once the cause is treated cycles might become regular.Relax.Hope this helps.Best regards..."
ADR listed in PINK,finance,21056,chatgpt_answers,"ADR stands for American Depository Receipt. It is a financial instrument that represents ownership of shares in a foreign company that are held by a bank in the United States. The bank issues the ADR to investors in the U.S., and the ADR is listed on a U.S. stock exchange. PINK is a market tier for OTC (over-the-counter) securities, and is operated by OTC Markets Group. OTC Markets Group is an American financial market providing price and liquidity information for almost 10,000 over-the-counter (OTC) securities. So, if an ADR is listed on PINK, it means that it is a foreign company whose shares are traded over-the-counter in the U.S."
What causes a white discharge with a foul smell?My father was diagnosed with stage 3 rectal cancer.  He has been receiving radiation and chemo to try and shrink the tumor so that it can be removed. Among other issues he just recently in the last three days started with a milky white discharge and a horrific foul smell. Is this common?,medicine,23273,human_answers,"Thanks for your question on Health Care Magic. I can understand your concern. No, this is not common. Foul smelling discharge in rectal cancer patient suggest infection at tumour site. Chemotherapy makes patient immunocompromised. So chances of infection are high in these patients. Radiotherapy weakens local defense system. So both these make patient prone to infection. So better to get done culture and sensitivity report of discharge. Culture report will isolate the causative organism and sensitivity report will guide you better about effective antibiotic treatment. He needs antibiotics.Hope I have solved your query. Wishing good health to your father. Thanks."
ADR listed in PINK,finance,21056,human_answers,"Pink Sheets is not a stock exchange per se, and securities traded through it are not as ""safe"" as the ones on a stock exchange regulated by SEC. Many companies are traded there because they failed to comply with the SEC regulations, or are bankrupt or don't want the level of reporting to the public that the SEC regulations require. Since you're talking about an ADR of a company traded on LSE, it might be much safer that other, ""regular"", securities, but still it means that you're buying an unregulated security (even if it is of a company regulated elsewhere). Notice the volume of trades: mere thousands of dollars per day (in a good day, in some days there are no trades at all). It makes it harder to sell the security when needed. Why not buying at LSE?"
"Is it natural to have hard lump on forehead after fall?I have a hard lump on forehead after fall 2 weeks ago is it natural for it to still be here? i was taken to A&E and they sent me home without a brain scan as the Doctor thought it unnecessary i had the biggest black eye I ve ever seen, feeling a little of colour today",medicine,23192,chatgpt_answers,"It is possible for a bump or lump to appear on your forehead after a fall. This could be due to a variety of factors, such as swelling, bruising, or a bone fracture. It is not uncommon for a bump or lump to persist for several weeks after an injury, especially if it is a more severe injury. However, it is important to be evaluated by a healthcare provider if you are concerned about the bump or if you are experiencing any other unusual symptoms following the fall. It is also important to seek medical attention if you are experiencing a change in your mental status, such as confusion or difficulty speaking, as these could be signs of a more serious injury."
"What causes sudden chest discomfort and leg weakness?I have been experiencing sudden chest discomfort such as pressure, fullness or squeezing sensation in the chest, and leg weakness and cramps and fatigue with a high blood pressure of 161/86 and pulse rate of 92 in the last 24 hours, should I go to the Emergency Room or wait to see a private doctor?",medicine,23923,chatgpt_answers,"Chest discomfort, leg weakness, and high blood pressure can be symptoms of a variety of medical conditions. It is important to seek medical attention if you are experiencing these symptoms, especially if they are severe or if you have a history of heart disease.

If you are experiencing chest discomfort that is severe or crushing in nature, or if you are having difficulty breathing, you should go to the emergency room immediately. These symptoms could potentially be signs of a heart attack and prompt medical attention is necessary.

If your symptoms are not severe, it may be appropriate to wait to see a private doctor. However, if you are unsure or if your symptoms are worsening, it is always better to be safe and seek medical attention as soon as possible. It is important to remember that only a medical professional can properly diagnose and treat your condition."
Can biting the cheek cause cancer?i have developed a white growth inside my cheek from biting the cheek involuntarily.  my periodontist discovered this about a week ago and told me it was benign but i am afraid it may not be.  he is biopsying it next week. can you develop cancer from biting your cheek thank you.,medicine,23745,chatgpt_answers,"It is possible to develop a tumor in the cheek as a result of biting or irritation, but it is not common. Most cheek tumors are benign (non-cancerous), but some can be malignant (cancerous). The most common type of malignant tumor that can develop in the cheek is squamous cell carcinoma, which usually appears as a firm, red or white bump on the skin.

It is important to have any growth or change in the cheek checked by a medical professional. Your periodontist is taking the appropriate step of biopsying the growth to determine whether it is benign or malignant. It is important to follow your periodontist's recommendations and to keep any follow-up appointments that have been scheduled. If the growth is found to be cancerous, your periodontist will refer you to a specialist for further evaluation and treatment."
Specifically when do options expire?,finance,20114,human_answers,"Equity options, at least those traded in the American exchanges, actually expire the Saturday after the 3rd Friday of the month.  However, the choice to trade or exercise the options must be specified by the 3rd Friday. This is outlined by the CBOE, who oversees the exchange of equity options.  Their FAQ regarding option expiration can be found at http://www.cboe.com/LearnCenter/Concepts/Beyond/expiration.aspx."
When are stop market/limit orders visible on the open market?,finance,21060,human_answers,"From the non-authoritative Investopedia page: A stop-limit order will be executed at a specified price, or better, after a given stop price has been reached. Once the stop price is reached, the stop-limit order becomes a limit order to buy or sell at the limit price or better. So once the stop price has been breached, your limit order is placed and will be on the order books as a $9 ask. For a vanilla stop order, a market order will be placed and will be filled using the highest active bid(s)."
value of guaranteeing a business loan,finance,22233,chatgpt_answers,"A guarantee on a business loan is a promise made by a third party, such as a bank or other financial institution, to pay the lender if the borrower fails to repay the loan. This can be a useful tool for a business owner to secure a loan, as it can provide additional reassurance to the lender that the loan will be repaid. However, there is a cost associated with obtaining a guarantee, which can include fees, interest, and other charges. The value of a guarantee will depend on the specific terms of the loan, the creditworthiness of the borrower and the guarantor, and the overall risk of default on the loan. It is important for a business owner to carefully consider the costs and benefits of a guarantee before deciding whether or not to obtain one."
Is owning ADR share for a good idea for long term investor,finance,20991,chatgpt_answers,"An American Depositary Receipt (ADR) is a type of security that represents ownership of foreign-based company's stock. As an investment, ADRs can be a good idea for long-term investors, as they provide an easy way to own shares of foreign companies and can help diversify an investment portfolio. However, as with any investment, there are also risks to consider. Some potential risks of owning ADRs include currency exchange rate fluctuations, differences in financial reporting standards, and changes in the performance of the underlying company.It's important to do your own research and carefully consider all of the potential risks and rewards before making any investment decisions. This may include reviewing the company's financial statements, understanding the economic and political environment in which the company operates, and consulting with a financial advisor or other professional."
What causes abdominal pain after falling on the buttocks?The other day when I went skating my friend pulled me downcand it made me fall right on my butt. Ever since then I have had abdominal pains whenever I get up from lying down or sitting down. I also cannot lay down in certain positions or else I will get sharp pains. Do you know what I could have done? I have no back pains or pains anywhere else except for my abdominal/ torso area.,medicine,23342,chatgpt_answers,"It's possible that you may have injured your tailbone or coccyx, which is the small, triangular bone at the base of the spine that is located above the buttocks. Falling on the buttocks can sometimes cause injury to the tailbone, which can result in pain when sitting, standing, or moving around.

It's also possible that you may have strained or pulled a muscle in your abdominal area as a result of the fall. In either case, it's important to take it easy and avoid activities that cause pain until the discomfort subsides.

If the pain persists or becomes severe, it's a good idea to see a healthcare provider for an evaluation. They can determine the cause of the pain and recommend appropriate treatment, which may include rest, ice or heat therapy, over-the-counter pain medication, or physical therapy."
Can an F1 student working on OPT with a STEM extension earn unrelated self employed income from a foreign employer?,finance,20547,human_answers,"From tax perspective, any income you earn for services performed while you're in the US is US-sourced. The location of the person paying you is of no consequence. From immigration law perspective, you cannot work for anyone other than your employer as listed on your I-20. So freelancing would be in violation of your visa, again - location of the customer is of no consequence."
"What causes red spot on tongue of baby?Hi, my newborn has a little red spot on the tip of her tongue, which looks like hemangioma but has not grown so far (she is 1 month old). I noticed it on the second day of her birth. Is it possible that she has hemangioma there and if yes what are the consequences?",medicine,23966,human_answers,Hi.Thanks for the query..A red spot on the tongue tip of your infant can be an inflamed papillae while it can also be due to causes like Hemangioma formation..It is a malformation of the blood vessels and will bleed on slight stimulation only..In case if it is a Hemangioma then it can be treated with Sclerosing agents ad in case if it does not get better then surgical removal of the same can help..In case if it is an inflamed papillae then doing cool compresses can help..For confirmation of the same consult a Pedodontist and get evaluated..Hope this helps..Regards.
"Why is my foreskin area dry ?I am 15 years old and have dry/white skin under the head of my penis it is not on the head and is on my foreskin area. It does not hurt or itch but to me it is very unattractive, i have tried putting small amounts of vaseline on the affected area but it does not make it any better just not as rough. Do you have any info on this? I am still somewhat a virgin ie:no vag sex yet",medicine,24115,chatgpt_answers,"It is normal for the skin on the foreskin to be a little bit dry. The skin on the penis and foreskin can be naturally dry and may require occasional moisturizing. Dry skin can be caused by a number of factors, including low humidity, hot showers, and using soap or other products that can strip the skin of its natural oils. If the dryness is severe or is accompanied by other symptoms such as redness, itching, or pain, it may be a sign of a skin condition or infection. If you are concerned about the dryness of your foreskin, it is important to speak with a healthcare provider for proper evaluation and treatment. They will be able to advise you on the best course of action to take."
Does a bid and ask price exist for indices like the S&P500?,finance,21126,chatgpt_answers,"Yes, the S&P 500, like most indices, has a bid and ask price. The bid price is the highest price that a buyer is willing to pay for a security, while the ask price is the lowest price that a seller is willing to accept for the security. The difference between the bid and ask price is known as the bid-ask spread.In the case of the S&P 500, the bid and ask prices are typically quoted in index points and represent the price at which a market maker is willing to buy or sell the index. The S&P 500 is a widely followed index that is considered to be a benchmark for the overall performance of the U.S. stock market, and as such, it is highly liquid and has a narrow bid-ask spread."
Can a entrepreneur hire a self-employed business owner?,finance,21086,chatgpt_answers,"Yes, an entrepreneur can hire a self-employed business owner as an independent contractor. As an independent contractor, the self-employed business owner will be responsible for managing their own business, including setting their own schedule, invoicing the entrepreneur for their services, and handling their own taxes and other business-related expenses. It is important for the entrepreneur to clearly communicate the terms of the working relationship and to ensure that all necessary legal and tax requirements are met."
Which account type to use for claimable expense I pay upfront for my employer?,finance,19845,human_answers,"I used Quicken, so this may or may not be helpful. I have a Cash account that I call ""Temporary Assets and Liabilities"" where I track money that I am owed (or that I owe in some cases).  So if I pay for something that is really not my expense, it is transferred to this account (""transferred"" in Quicken terms).  The payment is then not treated as an expense and the reimbursement is not treated as income--the two transactions just balance out."
View asset/holdings breakdown within fund,finance,21662,human_answers,"The full holdings will be listed in the annual report of the fund, obviously the holdings would only be completely accurate as of the date of the reporting. This is the most recent annual report for FMAGX.  I got it from my Schwab research section under ""All Fund Documents"" but I'm sure you can find it other ways.  When I use google to search for ""fmagx annual report"" this link was the first result."
Is it possible for US retail forex traders to trade exotic currencies?,finance,22711,human_answers,"You are in a difficult situation because of US regulation, that is much more demanding to fulfill than in EU or rest of the world.  Second, Interactive Brokers stopped serving FX for US clients. Third, EU brokers - like Saxo Bank - don't accept US clients: Almost any private client can open an account with Saxo Bank, although there are few exceptions. You can’t open an account if you are US, Iranian or North Korean resident - Brokerchooser: Saxo Bank Review Working for Brokerchooser, I would say you are limited to Oanda or Gain Capital. The latter is an ECN broker, and operates through other white label partners, you could try Forex.com also."
What is the treatment for hallucinations?HELLO DOC I AM TALKING FROM UTTERPRADESH MY FATHER IN LAW AGE 70 HAVING A PROBLEM OF PARKIINSONS SINCE 6 MONTHS NOW SINCE 3 DAYS HE IS BEHAVING STRANGE SOME HALUCINATIONS SOME TIME HE GOES IN FLASHBACK OF 10 YEARS SOME TIME HE FEELS PRSENCE OF SOME ONE WHAT TO DO,medicine,23755,human_answers,"HiThanks for using healthcare magicSometime, due to underline organic brain dysfunction, number of patients get hallucination or other psychotic symptoms. In that case, he needs low dose antipsychotic like quetiapine. Better to consult a psychiatrist and get him properly evaluated. Drug should be atypical antipsychotic that has less effect on dopamine level and would not effect on parkinson treatment.Thanks"
What causes dizziness and blurred vision when on Thyroxine?Hi there I ve been on thyroxine for 2 years now and in this past week I have experienced strange dizzy spells whereby my vision blurrs and I feel like I have to steady myself. I did get one whilst driving which was scary in itself. I told my sister who has low blood pressure and she suggested it could be that. My blood pressure is never low so I m wondering if it s my medication?,medicine,23215,human_answers,"Hello,I think you should check your blood pressure and blood sugar too. Low blood sugar can cause these symptoms and if you are a diabetic taking medication or insulin can be causing this. It doesn't seem related to thyroid issues.Hope I have answered your question. Let me know if I can assist you further. Regards,Dr. Olgeta Xhufka, General & Family Physician"
Google market cap,finance,22350,chatgpt_answers,"Google's market capitalization, or market cap, is a measure of the value of the company's outstanding shares of stock. It is calculated by multiplying the total number of shares by the current market price per share. As of September 2021, Google's market cap was approximately $1.5 trillion. This number can fluctuate significantly over time due to changes in the company's financial performance and the overall state of the stock market. Market cap is often used as a way to compare the relative size of different publicly traded companies."
What makes an actual share valuable? [duplicate],finance,19497,human_answers,"What benefit do I get from buying a share The value of any financial asset is its ability to generate cash in the future, and thus the ""value"" of a share is heavily influenced by the dividends it pays and the equity value.  The equity value can be calculated different ways. Two common ways are to just take ""book"" value, meaning assets - liabilities, or you can look at the projected free cash flows of the company discounted back to the present time. Voting rights don't typically influence a share price except in hostile takeover scenarios (meaning someone buys up a lot of shares to have more influence in company decisions)"
"Is a painful, dry and cracked wart dangerous?I believe I have a wart on my leg, but it has been there for several years. It has actually gotten bigger and now the top is dried and cracked in half. It did not respond to otc medicine and it has became painful. Could it be something besides a wart?",medicine,23850,human_answers,"Hi, dearI have gone through your question. I can understand your concern. You may have benign verruca plantaris or some other lesion.  You should go for biopsy of that wart. If it is benign then no need to worry. If it shows malignant change then you need to remove it.  Consult your doctor and take treatment accordingly. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using health care magic. Wish you a very good health."
Is SIPC coverage on cash as strong as FDIC?,finance,20800,human_answers,"For cash, SIPC insurance is similar to FDIC insurance. Your losses are not covered, but you're covered in case of fraud. Since your cash is supposed to be in a trust account and not commingled with brokerage's funds, in case of bankruptcy you would still have your cash unless there was fraud."
Get the maximum interest rate from a bank on short term holdings,finance,20619,human_answers,You can open Savings Bank Account with some Banks that offer better interest rate. Note there would be restriction on number of withdrawals in quarter. There are better interest rates if you lock in for 90+ days. The other option to explore is to open a Demat / Brokrage account and invest in liquid funds. Note depending on various factors it may or may not suite your requirements.
I am a small retail investor. Can I invest in the Facebook IPO at the IPO price? [duplicate],finance,21571,chatgpt_answers,"The initial public offering (IPO) price for Facebook was $38 per share. As a retail investor, you would have been able to purchase shares at the IPO price if you were able to place an order with a brokerage firm that was participating in the IPO. However, keep in mind that the demand for shares in the Facebook IPO was very high, so it is possible that you would have had to pay more than the IPO price to acquire shares."
"My university has tranfered me money by mistake, and wants me to transfer it back",finance,20010,chatgpt_answers,"It's important to contact your university as soon as possible if you receive a payment by mistake. It's likely that the university will request that you return the funds as soon as possible to avoid any complications or misunderstandings.To return the funds, you may need to provide your bank account information to the university so that they can initiate a transfer back to their account. Be sure to keep any communication with the university regarding the mistaken payment, as it may be helpful to have a record of the situation in case of any future questions or issues.It's also a good idea to double-check with the university to confirm that they have successfully received the returned funds, to ensure that the issue has been resolved to everyone's satisfaction."
H&R Block says form 1120 not finalized? IRS won't take it yet?,finance,22405,chatgpt_answers,"It is not uncommon for tax software, such as H&R Block, to indicate that a tax form, such as Form 1120, is not finalized if certain required information is missing or if there are errors in the form. The Internal Revenue Service (IRS) will not accept a tax return if it is incomplete or if it contains errors. It is important to review your tax return carefully and make sure that all required information is included and that all of the information is accurate before submitting it to the IRS. If you are using tax software, such as H&R Block, to prepare your tax return, the software may prompt you to provide missing information or to correct errors. It is important to follow these prompts in order to ensure that your tax return is complete and accurate before submitting it to the IRS."
